30 200
1 2 25
2 3 36
1 4 21
4 5 20
3 6 0
6 7 23
2 8 1
2 9 29
6 10 46
10 11 2
2 12 12
7 13 32
6 14 20
14 15 37
2 16 5
15 17 14
2 18 42
15 19 21
17 20 8
15 21 15
21 22 14
18 23 50
3 24 0
19 25 28
13 26 30
13 27 2
20 28 19
4 29 4
10 30 5
11 13 38
15 6 6
6 23 11
9 11 24
16 12 24
18 26 32
14 13 31
8 23 25
7 4 21
22 19 42
9 27 40
16 27 8
30 23 5
2 27 19
22 5 28
16 29 28
3 20 4
24 14 36
20 13 41
19 15 42
14 8 15
24 21 26
13 14 7
1 22 46
9 12 44
29 13 24
14 13 20
29 13 18
16 6 36
3 2 5
29 30 9
8 23 33
30 18 22
24 1 25
22 1 21
25 4 38
23 4 27
20 25 2
10 5 34
15 25 7
6 19 44
4 23 47
28 2 8
29 20 14
23 24 43
24 4 26
4 9 38
13 11 28
13 12 49
28 21 41
9 27 25
29 6 18
16 20 23
13 4 27
11 3 32
4 3 33
29 27 35
3 8 41
20 18 30
3 10 14
24 2 17
2 9 9
1 23 3
18 5 47
12 19 4
18 1 28
10 7 12
4 11 39
11 14 7
13 4 27
11 2 22
28 18 27
11 4 41
24 11 40
22 24 7
17 6 15
12 6 11
28 20 10
29 1 49
12 26 6
28 2 12
20 25 0
21 21 47
26 29 13
10 19 43
11 29 45
12 6 17
14 8 14
7 22 36
19 21 32
18 16 5
23 21 0
6 14 39
2 7 46
14 10 25
13 4 50
18 4 26
12 1 18
18 9 26
9 30 1
20 8 3
6 10 25
27 10 47
4 24 17
2 5 48
28 26 48
25 24 4
9 24 31
13 25 20
10 29 23
15 2 7
14 28 25
5 10 23
29 27 4
30 19 45
11 18 39
6 5 44
14 10 26
1 13 27
16 7 24
12 17 30
14 28 46
21 21 22
12 16 20
8 3 27
26 25 7
16 23 47
10 17 46
26 24 1
6 1 49
26 2 21
24 28 21
26 12 42
2 15 25
5 11 34
22 17 42
16 16 1
29 26 44
18 3 7
23 6 0
10 23 34
24 27 48
30 26 39
6 10 1
26 10 28
23 16 43
21 4 44
3 18 18
28 4 28
22 5 5
10 23 0
30 29 30
17 2 24
6 28 4
11 2 43
13 3 5
25 16 37
28 18 46
5 15 19
9 12 16
28 29 10
2 8 17
4 5 17
20 3 30
6 6 25
10 18 41
24 13 37
29 10 16
25 9 25
14 5 22
21 9 37
30 200
1 2 28
2 3 35
3 4 37
1 5 4
4 6 23
5 7 2
7 8 6
6 9 5
3 10 14
5 11 0
6 12 28
3 13 31
3 14 47
9 15 46
7 16 41
6 17 28
13 18 7
1 19 38
11 20 24
7 21 7
3 22 24
18 23 3
14 24 38
20 25 41
9 26 6
3 27 42
18 28 39
19 29 48
11 30 30
2 9 4
13 23 19
27 15 1
14 30 18
24 22 11
16 15 31
11 3 44
24 1 27
24 18 41
25 2 7
2 27 15
20 2 22
21 19 33
28 18 12
2 2 40
22 29 5
23 4 5
14 1 14
7 23 6
27 24 28
19 6 9
10 22 22
8 30 16
14 22 46
20 11 36
25 8 41
14 1 19
18 20 33
12 11 35
8 15 2
20 4 39
8 17 30
1 23 23
3 27 35
4 1 41
30 2 21
10 8 39
26 28 42
13 9 14
14 17 43
12 10 16
7 28 6
1 15 35
30 8 48
13 3 42
11 14 39
11 24 41
27 4 0
18 7 18
12 11 8
15 25 17
5 24 47
3 11 9
7 22 37
28 24 4
16 2 15
25 5 10
15 4 32
29 9 43
24 21 19
27 25 38
29 2 16
12 3 40
12 4 7
1 22 8
12 30 40
28 20 36
6 25 22
28 27 13
10 14 41
14 12 50
24 7 49
23 16 20
2 28 28
7 1 12
28 2 15
29 5 33
16 8 29
18 12 2
2 24 28
1 1 27
21 21 7
27 19 15
12 20 31
1 19 11
20 10 1
10 30 11
1 7 8
29 24 27
27 24 22
3 5 14
25 25 48
30 27 17
30 19 16
9 22 5
16 4 46
12 10 26
13 19 12
9 17 28
28 8 45
4 10 10
7 26 47
18 10 18
14 5 22
